"WardCode","WardName","borough","NESW","AreaSqKm","lon","lat","IncomeScor","LivingEnSc","NoEmployee","GrenSpace","PopDen","BornUK","NotBornUK","NoCTFtoH","NoDwelling","NoFlats","NoHouses","NoOwndDwel","MedHPrice"
"E05000607","Valley","Waltham Forest","North",2,-0.024405,51.612858,0.23,27.68,3100,17.6,5750,8514,2930,0.5,4342,1071,3271,2931,205500
"E05000608","William Morris","Waltham Forest","East",1,-0.028166,51.590258,0.27,47.19,2000,5.3,13350,7485,5784,0,5027,2154,2889,2394,218000
"E05000609","Wood Street","Waltham Forest","East",1.8,0.001656,51.587086,0.27,50.52,2200,34.4,7472.2,8189,5179,0.6,5312,2887,2445,2337,250000
"E05000610","Balham","Wandsworth","Central",1.2,-0.151758,51.449882,0.09,35.24,3400,11.7,12333.3,10550,4201,32.3,6484,3766,2765,3382,500000
"E05000611","Bedford","Wandsworth","Central",1.8,-0.147946,51.435704,0.12,49.79,1800,47.9,8111.1,10158,4417,15.3,6486,4809,1889,2878,334500
"E05000612","Earlsfield","Wandsworth","South",1.4,-0.185732,51.440183,0.14,37.4,5800,16.7,11071.4,10292,5156,5.7,6731,4337,2523,3167,370000
"E05000613","East Putney","Wandsworth","South",1.6,-0.212712,51.455844,0.09,39.76,3900,11,9437.5,9098,5924,25,7188,5512,1734,3372,390000
"E05000614","Fairfield","Wandsworth","West",1.5,-0.188319,51.458961,0.11,38.51,7700,11.2,9766.7,9857,4756,26.4,6920,5029,1964,3274,390000
"E05000615","Furzedown","Wandsworth","Central",1.4,-0.146564,51.424562,0.19,41.78,1300,18.8,11071.4,9807,5697,3.9,6235,3176,3104,3272,261000
"E05000616","Graveney","Wandsworth","South",1,-0.162833,51.425501,0.21,46.63,3100,2.6,15250,8749,6449,1.5,6325,3207,3151,2764,267000
"E05000617","Latchmere","Wandsworth","South",1.1,-0.16882,51.468425,0.29,43.04,2400,12.5,14000,9268,6090,7.3,6855,5637,1309,2042,290000
"E05000618","Nightingale","Wandsworth","South",1.2,-0.159916,51.443114,0.1,37.8,3600,9.5,12291.7,10619,4060,29.7,6445,4096,2460,3242,400500
"E05000619","Northcote","Wandsworth","Central",1.7,-0.163479,51.45773,0.07,37.46,6100,34,8823.5,10626,4314,37.2,6452,3731,2757,3320,540000
"E05000620","Queenstown","Wandsworth","Central",3.2,-0.147164,51.478074,0.21,43.35,11900,38.5,5109.4,9405,6926,17.5,8279,7505,872,2775,413250
"E05000621","Roehampton and Putney Heath","Wandsworth","South",4.4,-0.240689,51.448509,0.26,25.07,4200,70.6,3659.1,9898,6234,9.7,6041,4900,1175,1769,249000
"E05000622","St Mary's Park","Wandsworth","West",1.4,-0.173614,51.473748,0.16,42.97,9600,26.9,11857.1,10112,6444,35.9,8259,7160,1124,3398,475000
"E05000623","Shaftesbury","Wandsworth","Central",0.9,-0.157934,51.465329,0.11,45.48,3800,2.4,15777.8,10059,4101,23.9,6585,3606,3043,2840,480000
"E05000624","Southfields","Wandsworth","South",1.5,-0.198681,51.447305,0.1,32.71,5200,17,10866.7,10602,5654,18.9,7175,4002,3201,3860,412250
"E05000625","Thamesfield","Wandsworth","West",1.9,-0.216922,51.46526,0.05,37.55,9800,34.5,7842.1,10189,4653,44.6,6798,4158,2693,3685,525000
"E05000626","Tooting","Wandsworth","South",1.6,-0.172293,51.430225,0.21,45.55,12000,33.7,10156.3,8866,7373,0.9,6215,2996,3268,2529,323850
"E05000627","Wandsworth Common","Wandsworth","South",2.8,-0.175894,51.447089,0.08,34.26,3600,48.2,5464.3,11333,3914,39.1,5762,2903,2884,3468,450000
"E05000628","West Hill","Wandsworth","South",1.7,-0.21438,51.444681,0.16,28.64,2300,31.9,9676.5,9267,7135,19.8,6897,5145,1757,3024,275000
"E05000629","West Putney","Wandsworth","South",1.8,-0.23378,51.458306,0.15,24.57,1900,20.5,8194.4,9667,5075,23.3,6487,3982,2567,3243,374000
"E05000630","Abbey Road","Westminster","Central",1.1,-0.178198,51.5349,0.08,41.38,3300,7.2,10227.3,4849,6401,55.1,5781,4555,1250,2237,685000
"E05000631","Bayswater","Westminster","Central",0.5,-0.191893,51.51708,0.12,48.95,3700,3.8,20600,4520,5780,29.7,5753,5160,688,1900,550000
"E05000632","Bryanston and Dorset Square","Westminster","Central",0.7,-0.16197,51.519546,0.06,56.6,27200,2.1,17142.9,4641,7350,57.1,7318,6811,681,2054,675000
"E05000633","Churchill","Westminster","Central",0.6,-0.147004,51.487778,0.21,42.79,3400,22.2,16083.3,5352,4266,19.9,4968,4581,416,1191,641000
"E05000634","Church Street","Westminster","Central",0.4,-0.169683,51.523901,0.36,47.74,4300,7.6,29375,5558,6202,6.9,4797,4614,252,834,390000
"E05000635","Harrow Road","Westminster","West",0.5,-0.199472,51.526608,0.31,43.23,2000,3,24100,6228,5806,8.1,5465,4854,717,1320,350000
"E05000636","Hyde Park","Westminster","Central",1,-0.172989,51.516062,0.11,58.54,29300,8.9,12450,4460,8002,59.3,7477,6761,863,2147,630000
"E05000637","Knightsbridge and Belgravia","Westminster","Central",3.6,-0.166754,51.504401,0.01,43.92,28000,69.1,2583.3,3742,5528,95.7,5393,3783,1655,1813,1750000
"E05000638","Lancaster Gate","Westminster","Central",0.6,-0.185408,51.513183,0.1,53.06,7600,8.6,22000,4675,8520,39.9,7286,6962,640,2135,699000
"E05000639","Little Venice","Westminster","Central",0.6,-0.180789,51.523555,0.15,49.59,2600,15.5,17750,5036,5597,50.5,5240,4851,506,1958,650000
"E05000640","Maida Vale","Westminster","West",0.6,-0.189522,51.529797,0.16,43.96,1700,27.2,17000,5209,5001,29.4,4606,4373,288,1617,550000
"E05000641","Marylebone High Street","Westminster","Central",1,-0.150353,51.519628,0.05,53.64,60800,6.1,10350,4305,6061,66.1,6480,6026,501,1759,680000
"E05000642","Queen's Park","Westminster","West",0.6,-0.208677,51.529488,0.4,44.92,2000,4.4,20916.7,7124,5439,4.6,5229,3306,1996,1207,390014
"E05000643","Regent's Park","Westminster","Central",2.3,-0.161933,51.530026,0.1,46.51,9300,62.2,5260.9,4835,7232,53.1,6893,6426,487,2262,540000
"E05000644","St James's","Westminster","Central",3.5,-0.130572,51.504591,0.12,60.92,196900,30.7,3085.7,5518,5310,55.6,6556,6242,337,1421,690000
"E05000645","Tachbrook","Westminster","Central",0.4,-0.134354,51.487847,0.11,45.92,1900,32.4,20375,4802,3356,30.8,5087,4932,268,1214,515000
"E05000646","Vincent Square","Westminster","Central",0.7,-0.131793,51.492921,0.14,45.24,21800,30,14285.7,5532,4456,41.7,5674,5566,148,1709,600000
"E05000647","Warwick","Westminster","Central",0.6,-0.143881,51.492085,0.11,48.05,18900,4,15666.7,5256,4113,47.2,5335,4964,508,1759,590000
"E05000648","Westbourne","Westminster","Central",0.7,-0.193781,51.521258,0.33,45.59,3200,19.2,18214.3,6194,6565,11.1,5393,5278,193,1216,415000
"E05000649","West End","Westminster","Central",2,-0.143578,51.512348,0.09,60.14,193200,3.9,5300,4571,6004,64.5,7587,7150,477,1419,950000
"E09000001","City of London",NA,"Central",3.2,-0.092438,51.514414,0.06,35.23,374100,18.6,2312.5,4670,2705,33.7,5513,5416,114,1868,465000
